section,position,channel_number,wanted_name,status,source,match_method,source_order,matched_tvg_id,source_name,url
turkish,1,22,Show TV,added_dynamic_source,https://tinyurl.com/ByteFixRepairs2026,dynamic-exact:SHOW.TV.HD.tr,3,SHOW.TV.HD.tr,Show TV,https://ciner.daioncdn.net/showtv/showtv.m3u8?ce=3&app=4bc856ef-4c68-4a94-bc87-37dfaaa66558
turkish,2,23,TRT 1,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,3,24,Kanal D,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,4,25,ATV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,5,26,NOW,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,6,27,Star TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,7,28,TV8,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,8,29,360,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,9,99,TLC,added_dynamic_source,https://tinyurl.com/ByteFixRepairs2026,dynamic-exact:TLC.HD.tr,14,TLC.HD.tr,TLC,http://dygvideo.dygdigital.com/live/hls/tlctvdai?m3u8
turkish,10,186,DMAX,added_dynamic_source,https://tinyurl.com/ByteFixRepairs2026,dynamic-exact:DMAX.HD.tr,13,DMAX.HD.tr,DMAX,http://dygvideo.dygdigital.com/live/hls/dmaxdai?m3u8
turkish,11,30,CNBC-e,added_iptv_org,iptv-org tur.m3u,name,33,CNBCe.tr@SD,CNBC-e,https://hnpsechtsc.turknet.ercdn.net/xpnvudnlsv/cnbc-e/cnbc-e.m3u8
turkish,12,31,Bloomberg HT,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,13,32,A Haber,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,14,33,TRT Haber,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,15,34,Kanal 7,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,16,35,A2,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,17,36,Beyaz TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,18,37,tv100,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,19,38,Ülke TV,added_iptv_org,iptv-org tur.m3u,name,168,UlkeTV.tr@SD,Ulke TV,http://217.174.229.138:8000/play/a0el
turkish,20,39,TVNET,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,21,40,24 TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,22,41,NTV,added_iptv_org,iptv-org tur.m3u,name,104,NTV.tr@SD,NTV,https://dogus.daioncdn.net/ntv/ntv.m3u8?app=ntv_web
turkish,23,42,CNN Türk,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,24,43,A Para,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,25,44,Habertürk,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,26,45,TGRT Haber,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,27,46,Ekotürk,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,28,47,Haber Global,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,29,48,TELE1,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,30,50,Flash Haber,added_iptv_org,iptv-org tur.m3u,name,51,FlashHaberTV.tr@SD,Flash Haber TV,https://b01c02nl.mediatriple.net/videoonlylive/mtyycglqauzjhlive/broadcast_67c053c48829f.smil/playlist.m3u8
turkish,31,51,Lider Haber,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,32,52,Ulusal Kanal,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,33,53,Halk TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,34,54,Teve2,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,35,55,TV 8.5,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,36,56,TRT 3,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,37,57,TRT Avaz,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,38,58,TRT Kurdî,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,39,59,Türk Haber TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,40,60,Sözcü TV,added_manual_fallback,manual_overrides.json,dynamic-not-found -> not_found,,SozcuTV.tr,Sözcü TV,http://live.tv-youtube.workers.dev/?ID=UCOulx_rep5O4i9y6AyDqVvw
turkish,41,61,TRT Türk,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,42,62,KRT,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,43,63,Bengü Türk,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,44,65,TV4,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,45,66,TRT 2,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,46,67,VAV TV,added_iptv_org,iptv-org tur.m3u,name,171,VavTV.tr@SD,Vav TV,https://playlist.fasttvcdn.com/pl/rfrk9821hdy9dayo8wfyha/kltr-sanat-tv/playlist.m3u8
turkish,47,68,Diyanet TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,48,69,Akit TV,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,49,75,HT Spor,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,50,76,FB TV,added_iptv_org,iptv-org tur.m3u,name,48,FBTV.tr@SD,FB TV,http://1hskrdto.rocketcdn.com/fenerbahcetv.smil/playlist.m3u8
turkish,51,85,beIN Sports Haber,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,52,86,TRT Spor,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
turkish,53,87,TRT Spor Yıldız,not_found_in_iptv_org_tur,iptv-org tur.m3u,not_found,,,,
